_id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
669518f802bcf6b286d4993f, GT86,2020,25995,Manual,3250,Petrol,145,33.2,2
669518f802bcf6b286d49908, GT86,2017,15998,Manual,26919,Petrol,260,36.2,2
669518f802bcf6b286d49907, GT86,2017,17498,Manual,36284,Petrol,145,36.2,2
669518f802bcf6b286d49932, GT86,2017,17102,Manual,21000,Petrol,260,36.2,2
669518f802bcf6b286d49906, GT86,2017,18998,Manual,14736,Petrol,150,36.2,2
669518f802bcf6b286d49905, GT86,2015,13998,Manual,27469,Petrol,265,36.2,2
669518f802bcf6b286d49911, GT86,2018,18498,Manual,35228,Petrol,145,36.2,2
669518f802bcf6b286d49931, GT86,2019,23997,Manual,4500,Petrol,145,33.2,2
669518f802bcf6b286d4993d, GT86,2013,11599,Automatic,28335,Petrol,200,39.8,2
669518f802bcf6b286d49920, GT86,2015,13981,Manual,30500,Petrol,265,36.2,2
669518f802bcf6b286d4992e, GT86,2017,18250,Manual,20219,Petrol,145,36.2,2
669518f802bcf6b286d49933, GT86,2019,24995,Manual,2488,Petrol,145,33.2,2
669518f802bcf6b286d4993e, GT86,2017,17249,Manual,10089,Petrol,145,36.2,2
669518f802bcf6b286d49927, GT86,2014,14999,Manual,18389,Petrol,260,36.2,2
669518f802bcf6b286d49929, GT86,2016,15000,Manual,28321,Petrol,265,36.2,2
669518f802bcf6b286d49935, GT86,2020,29769,Manual,999,Petrol,145,33.2,2
669518f802bcf6b286d4993b, GT86,2019,25121,Manual,7056,Petrol,145,33.2,2
669518f802bcf6b286d49909, GT86,2017,18522,Manual,10456,Petrol,145,36.2,2
669518f802bcf6b286d4990b, GT86,2020,27998,Manual,516,Petrol,150,33.2,2
669518f802bcf6b286d49912, GT86,2019,23980,Manual,1751,Petrol,145,33.2,2
669518f802bcf6b286d49913, GT86,2017,17995,Manual,16444,Petrol,265,36.2,2
669518f802bcf6b286d49914, GT86,2014,12998,Manual,25499,Petrol,260,36.2,2
669518f802bcf6b286d49917, GT86,2020,26995,Semi-Auto,1500,Petrol,145,32.8,2
669518f802bcf6b286d49921, GT86,2015,13991,Manual,38126,Petrol,260,36.2,2
669518f802bcf6b286d4993c, GT86,2017,17500,Manual,11898,Petrol,145,36.2,2
669518f802bcf6b286d4991b, GT86,2018,19995,Manual,15525,Petrol,150,36.2,2
669518f802bcf6b286d49903, GT86,2016,16000,Manual,24089,Petrol,265,36.2,2
669518f802bcf6b286d4990c, GT86,2016,13990,Manual,37999,Petrol,265,36.2,2
669518f802bcf6b286d49923, GT86,2018,20695,Manual,5260,Petrol,145,36.2,2
669518f802bcf6b286d4992a, GT86,2019,22200,Semi-Auto,16241,Petrol,145,32.8,2
669518f802bcf6b286d4992b, GT86,2019,24990,Manual,3150,Petrol,145,33.2,2
669518f802bcf6b286d4992f, GT86,2019,23995,Manual,1557,Petrol,150,33.2,2
669518f802bcf6b286d49937, GT86,2014,13495,Manual,24667,Petrol,265,36.2,2
669518f802bcf6b286d4993a, GT86,2017,18621,Manual,18544,Petrol,150,36.2,2
669518f802bcf6b286d49910, GT86,2019,23995,Manual,995,Petrol,145,33.2,2
669518f802bcf6b286d4990e, GT86,2017,17990,Manual,12597,Petrol,145,36.2,2
669518f802bcf6b286d4991f, GT86,2020,24990,Manual,339,Petrol,145,33.2,2
669518f802bcf6b286d49942, GT86,2019,27950,Manual,489,Petrol,145,33.2,2
669518f802bcf6b286d4990d, GT86,2013,10495,Manual,72000,Petrol,265,36.2,2
669518f802bcf6b286d49916, GT86,2019,25780,Manual,5123,Petrol,145,33.2,2
669518f802bcf6b286d49918, GT86,2019,23998,Semi-Auto,913,Petrol,145,32.8,2
669518f802bcf6b286d49924, GT86,2019,25999,Manual,100,Petrol,145,33.2,2
669518f802bcf6b286d49925, GT86,2013,11575,Manual,50584,Petrol,265,36.2,2
669518f802bcf6b286d4992c, GT86,2019,25995,Manual,8912,Petrol,145,33.2,2
669518f802bcf6b286d4991a, GT86,2017,17000,Manual,14345,Petrol,150,36.2,2
669518f802bcf6b286d49938, GT86,2017,18495,Semi-Auto,13930,Petrol,150,39.8,2
669518f802bcf6b286d49941, GT86,2017,17250,Manual,19420,Petrol,145,36.2,2
669518f802bcf6b286d49919, GT86,2019,26995,Manual,2680,Petrol,150,33.2,2
669518f802bcf6b286d4991e, GT86,2018,18490,Manual,31231,Petrol,150,36.2,2
669518f802bcf6b286d4992d, GT86,2017,19500,Manual,9639,Petrol,260,36.2,2
669518f802bcf6b286d49915, GT86,2019,23495,Automatic,3934,Petrol,145,32.8,2
669518f802bcf6b286d49904, GT86,2017,15995,Manual,18615,Petrol,145,36.2,2
669518f802bcf6b286d4990a, GT86,2017,18995,Manual,12340,Petrol,145,36.2,2
669518f802bcf6b286d49939, GT86,2020,25499,Manual,614,Petrol,145,33.2,2
669518f802bcf6b286d49928, GT86,2019,27000,Semi-Auto,100,Petrol,145,32.8,2
669518f802bcf6b286d49936, GT86,2019,25850,Manual,4442,Petrol,145,33.2,2
669518f802bcf6b286d4990f, GT86,2017,16995,Manual,36100,Petrol,145,36.2,2
669518f802bcf6b286d4991d, GT86,2016,15995,Semi-Auto,19460,Petrol,200,39.8,2
669518f802bcf6b286d49926, GT86,2017,20995,Manual,6445,Petrol,145,36.2,2
669518f802bcf6b286d49922, GT86,2019,27060,Automatic,3348,Petrol,145,32.8,2
669518f802bcf6b286d49934, GT86,2017,19995,Manual,26000,Petrol,145,36.2,2
669518f802bcf6b286d4991c, GT86,2020,31000,Manual,3000,Petrol,145,33.2,2
669518f802bcf6b286d49930, GT86,2016,17500,Manual,14000,Petrol,260,36.2,2
669518f802bcf6b286d49940, GT86,2014,13000,Manual,39761,Petrol,265,36.2,2
669518f802bcf6b286d49943, GT86,2020,27995,Manual,1055,Petrol,145,33.2,2
669518f802bcf6b286d4994d, Corolla,2005,1300,Manual,129000,Petrol,260,36.7,1.8
669518f802bcf6b286d49944, GT86,2016,13999,Manual,19987,Petrol,260,36.2,2
669518f802bcf6b286d49947, GT86,2012,11995,Manual,53000,Petrol,250,36.2,2
669518f802bcf6b286d49975, Corolla,2019,22790,Automatic,5830,Hybrid,135,72.4,2
669518f802bcf6b286d49954, Corolla,2019,27990,Automatic,3650,Hybrid,135,72.4,2
669518f802bcf6b286d4995a, Corolla,2019,23990,Automatic,9500,Hybrid,135,78.5,1.8
669518f802bcf6b286d4995b, Corolla,2019,19995,Automatic,12158,Hybrid,135,85.6,1.8
669518f802bcf6b286d49961, Corolla,2019,19990,Automatic,10500,Hybrid,135,85.6,1.8
669518f802bcf6b286d49965, Corolla,2019,15990,Manual,3500,Petrol,145,39.2,1.2
669518f802bcf6b286d4997f, Corolla,2019,16490,Manual,8599,Petrol,145,39.2,1.2
669518f802bcf6b286d49980, Corolla,2019,15990,Manual,5346,Petrol,145,39.2,1.2
669518f802bcf6b286d4994a, GT86,2017,19500,Manual,6725,Petrol,145,36.2,2
669518f802bcf6b286d4994b, GT86,2020,28000,Manual,650,Petrol,145,33.2,2
669518f802bcf6b286d49959, Corolla,2019,19998,Automatic,1992,Hybrid,135,85.6,1.8
669518f802bcf6b286d4996a, Corolla,2019,18498,Manual,5087,Petrol,145,39.2,1.2
669518f802bcf6b286d49971, Corolla,2019,25000,Automatic,2430,Hybrid,140,78.5,1.8
669518f802bcf6b286d4997d, Corolla,2019,20288,Manual,4886,Petrol,150,39.2,1.2
669518f802bcf6b286d49948, GT86,2015,13495,Manual,49000,Petrol,265,36.2,2
669518f802bcf6b286d49969, Corolla,2019,16995,Manual,6503,Petrol,145,39.2,1.2
669518f802bcf6b286d4997a, Corolla,2019,20498,Automatic,13872,Hybrid,140,72.4,2
669518f802bcf6b286d4997c, Corolla,2019,20488,Automatic,3892,Hybrid,140,58.9,1.8
669518f802bcf6b286d49945, GT86,2012,9995,Automatic,74599,Petrol,200,39.8,2
669518f802bcf6b286d4994e, Corolla,2019,20250,Automatic,7445,Hybrid,140,85.6,1.8
669518f802bcf6b286d4995c, Corolla,2019,24995,Automatic,5500,Hybrid,135,72.4,2
669518f802bcf6b286d49960, Corolla,2019,20990,Automatic,5000,Hybrid,135,85.6,1.8
669518f802bcf6b286d49967, Corolla,2019,22075,Automatic,9684,Hybrid,135,85.6,1.8
669518f802bcf6b286d4996b, Corolla,2019,25995,Automatic,1751,Hybrid,135,72.4,2
669518f802bcf6b286d4997e, Corolla,2019,17995,Manual,9770,Petrol,145,39.2,1.2
669518f802bcf6b286d4994c, Corolla,2019,22500,Automatic,8006,Other,140,85.6,1.8
669518f802bcf6b286d49956, Corolla,2019,17440,Manual,6346,Petrol,145,39.2,1.2
669518f802bcf6b286d4994f, Corolla,2020,26980,Automatic,5000,Hybrid,135,72.4,2
669518f802bcf6b286d49951, Corolla,2019,18995,Manual,2193,Petrol,145,39.2,1.2
